;Name;n;m;directed;dmax;davg;download_link
236;Wikiquote edits (li);3437;6143;False;2412;3.57463;http://konect.cc/files/download.tsv.edit-liwikisource.tar.bz2
237;Wiktionary edits (om);1124;6205;False;1318;11.0409;http://konect.cc/files/download.tsv.edit-omwiktionary.tar.bz2
238;Wiktionary edits (qu);1689;6491;False;918;7.6862;http://konect.cc/files/download.tsv.edit-quwiktionary.tar.bz2
239;Wikipedia edits (ks);2134;6470;False;299;6.06373;http://konect.cc/files/download.tsv.edit-kswiki.tar.bz2
240;Wiktionary edits (rw);1321;6776;False;1019;10.2589;http://konect.cc/files/download.tsv.edit-rwwiktionary.tar.bz2
241;DNC co-recipients;2029;136602;False;462;134.65;http://konect.cc/files/download.tsv.dnc-corecipient.tar.bz2
242;Wiktionary edits (gn);2678;6691;False;2922;4.99701;http://konect.cc/files/download.tsv.edit-gnwiktionary.tar.bz2
243;Wiktionary edits (kw);1245;6895;False;1439;11.0763;http://konect.cc/files/download.tsv.edit-kwwiktionary.tar.bz2
244;Hamsterster full;2426;16631;False;273;13.7106;http://konect.cc/files/download.tsv.petster-hamster.tar.bz2
245;Wikibooks edits (bg);2271;6788;False;1450;5.97798;http://konect.cc/files/download.tsv.edit-bgwikibooks.tar.bz2
246;Adolescent health;2539;12969;True;36;10.2158;http://konect.cc/files/download.tsv.moreno_health.tar.bz2
247;Wikipedia edits (mo);1643;7181;False;1068;8.74133;http://konect.cc/files/download.tsv.edit-mowiki.tar.bz2
248;Wiktionary edits (na);1717;7094;False;2642;8.26325;http://konect.cc/files/download.tsv.edit-nawiktionary.tar.bz2
249;Wikipedia edits (kbp);1587;7350;False;1853;9.26276;http://konect.cc/files/download.tsv.edit-kbpwiki.tar.bz2
250;Wikibooks edits (ne);2504;7105;False;1697;5.67492;http://konect.cc/files/download.tsv.edit-newikibooks.tar.bz2
251;Wikiquote edits (et);1822;7681;False;995;8.43139;http://konect.cc/files/download.tsv.edit-etwikiquote.tar.bz2
252;Wiktionary edits (zu);1624;7532;False;1898;9.27586;http://konect.cc/files/download.tsv.edit-zuwiktionary.tar.bz2
253;Wiktionary edits (ay);1958;7456;False;1903;7.61593;http://konect.cc/files/download.tsv.edit-aywiktionary.tar.bz2
254;Wikiquote edits (bs);3347;7625;False;2402;4.55632;http://konect.cc/files/download.tsv.edit-bswikisource.tar.bz2
255;Wikinews edits (sq);2511;7745;False;2152;6.16886;http://konect.cc/files/download.tsv.edit-sqwikinews.tar.bz2
256;Wikibooks edits (sr);3308;7700;False;1212;4.65538;http://konect.cc/files/download.tsv.edit-srwikibooks.tar.bz2
257;Blogs;1224;19025;True;467;31.0866;http://konect.cc/files/download.tsv.moreno_blogs.tar.bz2
258;Wiktionary edits (gv);1530;8287;False;2507;10.8327;http://konect.cc/files/download.tsv.edit-gvwiktionary.tar.bz2
259;Wiktionary edits (jbo);1774;8417;False;2120;9.48929;http://konect.cc/files/download.tsv.edit-jbowiktionary.tar.bz2
260;Wikiquote edits (sr);2277;8672;False;712;7.61704;http://konect.cc/files/download.tsv.edit-srwikiquote.tar.bz2
261;Wikiversity edits (ja);2888;8599;False;824;5.95499;http://konect.cc/files/download.tsv.edit-jawikiversity.tar.bz2
262;Wiktionary edits (ie);2379;8719;False;1931;7.32997;http://konect.cc/files/download.tsv.edit-iewiktionary.tar.bz2
263;Wiktionary edits (roa-rup);2137;8738;False;1873;8.17782;http://konect.cc/files/download.tsv.edit-roa_rupwiktionary.tar.bz2
264;Wiktionary edits (mi);2262;8909;False;3190;7.8771;http://konect.cc/files/download.tsv.edit-miwiktionary.tar.bz2
265;Wikibooks edits (sl);2250;8809;False;1794;7.83022;http://konect.cc/files/download.tsv.edit-slwikibooks.tar.bz2
266;Wikiquote edits (da);2355;9143;False;1663;7.76476;http://konect.cc/files/download.tsv.edit-dawikiquote.tar.bz2
267;Wikibooks edits (sk);2586;9256;False;1868;7.15855;http://konect.cc/files/download.tsv.edit-skwikibooks.tar.bz2
268;Wikipedia edits (tw);2493;9208;False;583;7.38708;http://konect.cc/files/download.tsv.edit-twwiki.tar.bz2
269;Gnutella (08);6301;20777;True;97;6.59483;http://konect.cc/files/download.tsv.p2p-Gnutella08.tar.bz2
270;Wiktionary edits (yi);2848;9841;False;4742;6.91081;http://konect.cc/files/download.tsv.edit-yiwiktionary.tar.bz2
271;Sister cities;14274;20573;False;99;2.88258;http://konect.cc/files/download.tsv.twin.tar.bz2
272;Wikiquote edits (bg);3862;9712;False;1618;5.02952;http://konect.cc/files/download.tsv.edit-bgwikisource.tar.bz2
273;Wiktionary edits (st);2312;10000;False;2323;8.65052;http://konect.cc/files/download.tsv.edit-stwiktionary.tar.bz2
274;Wikiquote edits (ta);3097;9857;False;2448;6.36552;http://konect.cc/files/download.tsv.edit-tawikiquote.tar.bz2
275;Wikiquote edits (as);3912;10320;False;2479;5.27607;http://konect.cc/files/download.tsv.edit-aswikisource.tar.bz2
276;Wikipedia talk (cy);2233;10740;True;2663;9.61935;http://konect.cc/files/download.tsv.wiki_talk_cy.tar.bz2
277;Wikipedia talk (oc);3144;11059;True;3251;7.03499;http://konect.cc/files/download.tsv.wiki_talk_oc.tar.bz2
278;Wikibooks edits (ta);3873;10561;False;1726;5.45365;http://konect.cc/files/download.tsv.edit-tawikibooks.tar.bz2
279;Wiktionary edits (am);1878;10969;False;1747;11.6816;http://konect.cc/files/download.tsv.edit-amwiktionary.tar.bz2
280;Wikipedia edits (ve);2134;11047;False;786;10.3533;http://konect.cc/files/download.tsv.edit-vewiki.tar.bz2
281;Wikipedia edits (ki);3382;11092;False;1696;6.55943;http://konect.cc/files/download.tsv.edit-kiwiki.tar.bz2
282;Wikibooks edits (bn);5688;11162;False;1692;3.92475;http://konect.cc/files/download.tsv.edit-bnwikibooks.tar.bz2
283;Wikiquote edits (te);3795;11174;False;4796;5.8888;http://konect.cc/files/download.tsv.edit-tewikiquote.tar.bz2
284;Wikipedia edits (ti);2174;11472;False;881;10.5538;http://konect.cc/files/download.tsv.edit-tiwiki.tar.bz2
285;Pretty Good Privacy;10680;24316;False;205;4.55356;http://konect.cc/files/download.tsv.arenas-pgp.tar.bz2
286;Wiktionary edits (si);3016;11439;False;2700;7.58554;http://konect.cc/files/download.tsv.edit-siwiktionary.tar.bz2
287;Wikibooks edits (simple);3253;11524;False;1279;7.08515;http://konect.cc/files/download.tsv.edit-simplewikibooks.tar.bz2
288;Wikibooks edits (ml);3955;11388;False;1454;5.75879;http://konect.cc/files/download.tsv.edit-mlwikibooks.tar.bz2
289;Wikipedia edits (ak);2872;11356;False;634;7.90808;http://konect.cc/files/download.tsv.edit-akwiki.tar.bz2
290;Wikiquote edits (gu);2649;11364;False;1344;8.57984;http://konect.cc/files/download.tsv.edit-guwikiquote.tar.bz2
291;Wikipedia edits (ny);2338;11930;False;1054;10.2053;http://konect.cc/files/download.tsv.edit-nywiki.tar.bz2
292;Wikiversity edits (ko);2481;11953;False;2747;9.63563;http://konect.cc/files/download.tsv.edit-kowikiversity.tar.bz2
293;Wikiquote edits (id);4414;11668;False;941;5.28681;http://konect.cc/files/download.tsv.edit-idwikiquote.tar.bz2
294;Wikibooks edits (ka);5267;12212;False;4272;4.63717;http://konect.cc/files/download.tsv.edit-kawikibooks.tar.bz2
295;Gnutella (09);8114;26013;True;102;6.41188;http://konect.cc/files/download.tsv.p2p-Gnutella09.tar.bz2
296;Wikiquote edits (is);7109;12118;False;3500;3.4092;http://konect.cc/files/download.tsv.edit-iswikisource.tar.bz2
297;Wikipedia edits (fj);2534;12382;False;814;9.77269;http://konect.cc/files/download.tsv.edit-fjwiki.tar.bz2
298;Wikiquote edits (gl);3254;12453;False;2918;7.65396;http://konect.cc/files/download.tsv.edit-glwikisource.tar.bz2
299;Wikipedia edits (sg);2105;12456;False;1117;11.8347;http://konect.cc/files/download.tsv.edit-sgwiki.tar.bz2
300;Political blogs;1224;33430;True;702;54.6242;http://konect.cc/files/download.tsv.dimacs10-polblogs.tar.bz2
301;Wiktionary edits (so);3378;12339;False;4841;7.30551;http://konect.cc/files/download.tsv.edit-sowiktionary.tar.bz2
302;Wikipedia edits (rn);2313;12547;False;1076;10.8491;http://konect.cc/files/download.tsv.edit-rnwiki.tar.bz2
303;Wikipedia edits (ch);2943;12452;False;828;8.46211;http://konect.cc/files/download.tsv.edit-chwiki.tar.bz2
304;Wiktionary edits (pa);4647;12370;False;2530;5.32386;http://konect.cc/files/download.tsv.edit-pawiktionary.tar.bz2
305;Wikibooks edits (hr);3771;12757;False;4163;6.76584;http://konect.cc/files/download.tsv.edit-hrwikibooks.tar.bz2
306;Wikiquote edits (ro);3557;12781;False;1833;7.18639;http://konect.cc/files/download.tsv.edit-rowikiquote.tar.bz2
307;Wikiquote edits (hi);2838;12426;False;1662;8.75687;http://konect.cc/files/download.tsv.edit-hiwikiquote.tar.bz2
308;Wikiquote edits (ml);3834;12574;False;2228;6.55921;http://konect.cc/files/download.tsv.edit-mlwikiquote.tar.bz2
309;Wikipedia edits (tum);2373;13205;False;1313;11.1294;http://konect.cc/files/download.tsv.edit-tumwiki.tar.bz2
310;Wikinews edits (bg);4457;13336;False;3549;5.98429;http://konect.cc/files/download.tsv.edit-bgwikinews.tar.bz2
311;Wikipedia talk (br);1181;13754;True;3297;23.2921;http://konect.cc/files/download.tsv.wiki_talk_br.tar.bz2
312;Wikibooks edits (gl);3466;13382;False;4440;7.72187;http://konect.cc/files/download.tsv.edit-glwikibooks.tar.bz2
313;Wiktionary edits (fo);2064;13575;False;3233;13.1541;http://konect.cc/files/download.tsv.edit-fowiktionary.tar.bz2
314;Wikiquote edits (nn);4232;13767;False;10275;6.50614;http://konect.cc/files/download.tsv.edit-nnwikiquote.tar.bz2
315;Wikiquote edits (yi);5501;13882;False;11553;5.04708;http://konect.cc/files/download.tsv.edit-yiwikisource.tar.bz2
316;Wikiquote edits (mk);6891;13801;False;9224;4.00551;http://konect.cc/files/download.tsv.edit-mkwikisource.tar.bz2
317;Wiktionary edits (gu);4214;13905;False;2045;6.59943;http://konect.cc/files/download.tsv.edit-guwiktionary.tar.bz2
318;Wikiquote edits (no);3369;13926;False;1947;8.26714;http://konect.cc/files/download.tsv.edit-nowikiquote.tar.bz2
319;Wiktionary edits (mt);2853;13844;False;4137;9.70487;http://konect.cc/files/download.tsv.edit-mtwiktionary.tar.bz2
320;OpenFlights (Opsahl);2939;30501;True;473;20.756;http://konect.cc/files/download.tsv.opsahl-openflights.tar.bz2
321;Wikibooks edits (eo);3672;13811;False;4729;7.52233;http://konect.cc/files/download.tsv.edit-eowikibooks.tar.bz2
322;Wikiquote edits (sa);4637;14598;False;6210;6.29631;http://konect.cc/files/download.tsv.edit-sawikiquote.tar.bz2
323;Wiktionary edits (mr);4337;14353;False;2793;6.61886;http://konect.cc/files/download.tsv.edit-mrwiktionary.tar.bz2
324;Wikibooks edits (uk);3229;14277;False;2927;8.84299;http://konect.cc/files/download.tsv.edit-ukwikibooks.tar.bz2
325;Wikiquote edits (gl);3200;14807;False;1716;9.25437;http://konect.cc/files/download.tsv.edit-glwikiquote.tar.bz2
326;Gnutella (06);8717;31525;True;115;7.23299;http://konect.cc/files/download.tsv.p2p-Gnutella06.tar.bz2
327;Wikipedia edits (st);2689;14965;False;1009;11.1305;http://konect.cc/files/download.tsv.edit-stwiki.tar.bz2
328;Gnutella (05);8846;31839;True;88;7.19851;http://konect.cc/files/download.tsv.p2p-Gnutella05.tar.bz2
329;Wikibooks edits (lt);3014;14799;False;5061;9.82017;http://konect.cc/files/download.tsv.edit-ltwikibooks.tar.bz2
330;Wikipedia edits (tn);3345;15071;False;688;9.01106;http://konect.cc/files/download.tsv.edit-tnwiki.tar.bz2
331;Wiktionary edits (hsb);5591;15161;False;3639;5.42336;http://konect.cc/files/download.tsv.edit-hsbwiktionary.tar.bz2
332;Wikiquote edits (th);6970;14858;False;3575;4.26341;http://konect.cc/files/download.tsv.edit-thwikiquote.tar.bz2
333;Wikivoyage edits (uk);2003;15715;False;3268;15.6915;http://konect.cc/files/download.tsv.edit-ukwikivoyage.tar.bz2
334;Wikivoyage edits (ro);2868;15603;False;1754;10.8808;http://konect.cc/files/download.tsv.edit-rowikivoyage.tar.bz2
335;Wikiquote edits (mr);7274;14859;False;1835;4.08551;http://konect.cc/files/download.tsv.edit-mrwikisource.tar.bz2
336;Wikipedia edits (lg);4662;15425;False;989;6.61733;http://konect.cc/files/download.tsv.edit-lgwiki.tar.bz2
337;Wikipedia edits (ff);2330;15753;False;1301;13.5219;http://konect.cc/files/download.tsv.edit-ffwiki.tar.bz2
338;US airports;1574;28236;True;596;35.878;http://konect.cc/files/download.tsv.opsahl-usairport.tar.bz2
339;Wikibooks edits (az);6596;15901;False;7291;4.82141;http://konect.cc/files/download.tsv.edit-azwikibooks.tar.bz2
340;Wikipedia edits (olo);3281;16801;False;3288;10.2414;http://konect.cc/files/download.tsv.edit-olowiki.tar.bz2
341;Wikipedia edits (chy);3229;16528;False;1304;10.2372;http://konect.cc/files/download.tsv.edit-chywiki.tar.bz2
342;Wikinews edits (no);4523;16900;False;4967;7.47292;http://konect.cc/files/download.tsv.edit-nowikinews.tar.bz2
343;Wikibooks edits (is);3571;17046;False;2036;9.54691;http://konect.cc/files/download.tsv.edit-iswikibooks.tar.bz2
344;Wiktionary edits (kl);2597;17251;False;3607;13.2853;http://konect.cc/files/download.tsv.edit-klwiktionary.tar.bz2
345;Wiktionary edits (ur);8456;16967;False;7082;4.01301;http://konect.cc/files/download.tsv.edit-urwiktionary.tar.bz2
346;Twitter lists;23370;33101;True;239;2.83278;http://konect.cc/files/download.tsv.ego-twitter.tar.bz2
347;CiaoDVD trust;4658;40133;True;419;17.2319;http://konect.cc/files/download.tsv.librec-ciaodvd-trust.tar.bz2
348;Infectious;410;17298;False;294;84.3805;http://konect.cc/files/download.tsv.sociopatterns-infectious.tar.bz2
349;Wikipedia edits (jam);2922;17647;False;5590;12.0787;http://konect.cc/files/download.tsv.edit-jamwiki.tar.bz2
350;Wikiquote edits (sv);4205;17517;False;1608;8.33151;http://konect.cc/files/download.tsv.edit-svwikiquote.tar.bz2
351;Wikipedia edits (dz);2362;17931;False;1551;15.1829;http://konect.cc/files/download.tsv.edit-dzwiki.tar.bz2
352;Wikiquote edits (hr);3762;17950;False;5751;9.5428;http://konect.cc/files/download.tsv.edit-hrwikiquote.tar.bz2
353;Wikipedia edits (tyv);4156;18361;False;6346;8.8359;http://konect.cc/files/download.tsv.edit-tyvwiki.tar.bz2
354;Wiktionary edits (wo);3964;17778;False;3319;8.96973;http://konect.cc/files/download.tsv.edit-wowiktionary.tar.bz2
355;Wikibooks edits (da);4567;17832;False;3090;7.80907;http://konect.cc/files/download.tsv.edit-dawikibooks.tar.bz2
356;FilmTrust ratings;3579;35494;False;1044;19.8346;http://konect.cc/files/download.tsv.librec-filmtrust-ratings.tar.bz2
357;Wikiversity edits (sv);3417;18300;False;1730;10.7112;http://konect.cc/files/download.tsv.edit-svwikiversity.tar.bz2
358;Wikivoyage edits (el);2759;19378;False;8674;14.0471;http://konect.cc/files/download.tsv.edit-elwikivoyage.tar.bz2
359;Wikibooks edits (ro);4740;18527;False;4384;7.8173;http://konect.cc/files/download.tsv.edit-rowikibooks.tar.bz2
360;Wikiquote edits (ko);4197;18841;False;2543;8.97832;http://konect.cc/files/download.tsv.edit-kowikiquote.tar.bz2
361;Wikinews edits (ko);3508;19011;False;2151;10.8387;http://konect.cc/files/download.tsv.edit-kowikinews.tar.bz2
362;Wikinews edits (bs);4540;18981;False;7677;8.36167;http://konect.cc/files/download.tsv.edit-bswikinews.tar.bz2
363;Gnutella (04);10876;39994;True;103;7.35454;http://konect.cc/files/download.tsv.p2p-Gnutella04.tar.bz2
364;Hypertext 2009;113;20818;False;1483;368.46;http://konect.cc/files/download.tsv.sociopatterns-hypertext.tar.bz2
365;Wikipedia edits (om);3582;19420;False;2122;10.8431;http://konect.cc/files/download.tsv.edit-omwiki.tar.bz2
366;Haggle;274;28244;False;2092;206.161;http://konect.cc/files/download.tsv.contact.tar.bz2
367;Wikiquote edits (eo);4262;19798;False;2381;9.29047;http://konect.cc/files/download.tsv.edit-eowikiquote.tar.bz2
368;Chicago;12982;39018;True;14;6.01109;http://konect.cc/files/download.tsv.tntp-ChicagoRegional.tar.bz2
369;Wikipedia edits (xh);3606;20309;False;1578;11.264;http://konect.cc/files/download.tsv.edit-xhwiki.tar.bz2
370;Google+ (NIPS);23628;39242;True;2771;3.32165;http://konect.cc/files/download.tsv.ego-gplus.tar.bz2
371;Wikiquote edits (el);4390;20779;False;2561;9.46651;http://konect.cc/files/download.tsv.edit-elwikiquote.tar.bz2
372;Wiktionary edits (vec);3366;20858;False;5750;12.3933;http://konect.cc/files/download.tsv.edit-vecwiktionary.tar.bz2
373;Wiktionary edits (sd);5237;20835;False;11942;7.95685;http://konect.cc/files/download.tsv.edit-sdwiktionary.tar.bz2
374;Wikiquote edits (ja);5011;20595;False;5562;8.21992;http://konect.cc/files/download.tsv.edit-jawikiquote.tar.bz2
375;Wiktionary edits (tk);5810;20603;False;4718;7.09225;http://konect.cc/files/download.tsv.edit-tkwiktionary.tar.bz2
376;Wikiquote edits (vi);3929;20595;False;4626;10.4836;http://konect.cc/files/download.tsv.edit-viwikiquote.tar.bz2
377;Wikibooks edits (sq);7177;21709;False;10449;6.0496;http://konect.cc/files/download.tsv.edit-sqwikibooks.tar.bz2
378;Wiktionary edits (gd);4377;21686;False;6602;9.90907;http://konect.cc/files/download.tsv.edit-gdwiktionary.tar.bz2
379;Wikipedia edits (za);3503;21987;False;2062;12.5532;http://konect.cc/files/download.tsv.edit-zawiki.tar.bz2
380;Wikibooks edits (ko);6633;22016;False;4753;6.63832;http://konect.cc/files/download.tsv.edit-kowikibooks.tar.bz2
381;Autonomous systems (DIMACS10);22963;48436;False;2390;4.21861;http://konect.cc/files/download.tsv.dimacs10-as-22july06.tar.bz2
382;Wikipedia edits (ts);2915;22812;False;3338;15.6515;http://konect.cc/files/download.tsv.edit-tswiki.tar.bz2
383;Wikipedia edits (cr);3322;22700;False;1332;13.6665;http://konect.cc/files/download.tsv.edit-crwiki.tar.bz2
384;Wikipedia edits (dty);5803;22875;False;4353;7.88385;http://konect.cc/files/download.tsv.edit-dtywiki.tar.bz2
385;Wikibooks edits (cs);4918;22552;False;2395;9.17121;http://konect.cc/files/download.tsv.edit-cswikibooks.tar.bz2
386;Wikipedia edits (ha);4286;23338;False;3929;10.8903;http://konect.cc/files/download.tsv.edit-hawiki.tar.bz2
387;Wikinews edits (he);4946;23441;False;5427;9.47877;http://konect.cc/files/download.tsv.edit-hewikinews.tar.bz2
388;Wikiquote edits (or);9102;23164;False;6506;5.08987;http://konect.cc/files/download.tsv.edit-orwikisource.tar.bz2
389;Wikiquote edits (ka);4140;23721;False;6189;11.4594;http://konect.cc/files/download.tsv.edit-kawikiquote.tar.bz2
390;Wiktionary edits (pnb);10310;23901;False;8630;4.63647;http://konect.cc/files/download.tsv.edit-pnbwiktionary.tar.bz2
391;Wikiversity edits (el);4714;23644;False;3766;10.0314;http://konect.cc/files/download.tsv.edit-elwikiversity.tar.bz2
392;Wikivoyage edits (vi);3973;25348;False;6777;12.7601;http://konect.cc/files/download.tsv.edit-viwikivoyage.tar.bz2
393;Wiktionary edits (ug);3826;25269;False;4805;13.2091;http://konect.cc/files/download.tsv.edit-ugwiktionary.tar.bz2
394;CAIDA;26475;53381;False;2628;4.03256;http://konect.cc/files/download.tsv.as-caida20071105.tar.bz2
395;Wikiquote edits (be);10087;25040;False;9108;4.96481;http://konect.cc/files/download.tsv.edit-bewikisource.tar.bz2
396;Wiktionary edits (an);6101;25735;False;4200;8.43632;http://konect.cc/files/download.tsv.edit-anwiktionary.tar.bz2
397;Wikiquote edits (id);10063;25631;False;6465;5.09411;http://konect.cc/files/download.tsv.edit-idwikisource.tar.bz2
398;Bitcoin Alpha;3783;24186;True;888;12.7867;http://konect.cc/files/download.tsv.soc-sign-bitcoinalpha.tar.bz2
399;Wikibooks edits (tr);7395;25452;False;3001;6.88357;http://konect.cc/files/download.tsv.edit-trwikibooks.tar.bz2
400;Wiktionary edits (ia);7645;25707;False;5809;6.72518;http://konect.cc/files/download.tsv.edit-iawiktionary.tar.bz2
401;Wikinews edits (ro);7741;26566;False;3968;6.86371;http://konect.cc/files/download.tsv.edit-rowikinews.tar.bz2
402;Wikipedia edits (bi);3646;26344;False;2337;14.4509;http://konect.cc/files/download.tsv.edit-biwiki.tar.bz2
403;Wikipedia edits (got);3939;26259;False;3110;13.3328;http://konect.cc/files/download.tsv.edit-gotwiki.tar.bz2
404;Wikipedia edits (ik);2836;26843;False;2818;18.9302;http://konect.cc/files/download.tsv.edit-ikwiki.tar.bz2
405;Wikipedia edits (zu);4531;26511;False;2116;11.7021;http://konect.cc/files/download.tsv.edit-zuwiki.tar.bz2
406;Wikiquote edits (eo);7681;26697;False;5900;6.95144;http://konect.cc/files/download.tsv.edit-eowikisource.tar.bz2
407;Wikiquote edits (simple);6366;27042;False;5260;8.49576;http://konect.cc/files/download.tsv.edit-simplewikiquote.tar.bz2
408;Wikiquote edits (sl);5297;27934;False;3901;10.5471;http://konect.cc/files/download.tsv.edit-slwikiquote.tar.bz2
409;Wikinews edits (hu);5541;27265;False;8176;9.84118;http://konect.cc/files/download.tsv.edit-huwikinews.tar.bz2
410;Wikiversity edits (sl);3447;27076;False;3215;15.7099;http://konect.cc/files/download.tsv.edit-slwikiversity.tar.bz2
411;Wikipedia edits (sm);3364;28469;False;2340;16.9257;http://konect.cc/files/download.tsv.edit-smwiki.tar.bz2
412;Wikipedia edits (ltg);3158;28951;False;3095;18.335;http://konect.cc/files/download.tsv.edit-ltgwiki.tar.bz2
413;Gnutella (25);22687;54705;True;66;4.82259;http://konect.cc/files/download.tsv.p2p-Gnutella25.tar.bz2
414;WikiLens;5437;26937;False;1721;9.90877;http://konect.cc/files/download.tsv.wikilens-ratings.tar.bz2
415;Advogato;6541;51127;True;943;15.6328;http://konect.cc/files/download.tsv.advogato.tar.bz2
416;Wikipedia edits (ss);2752;29222;False;2418;21.2369;http://konect.cc/files/download.tsv.edit-sswiki.tar.bz2
417;Wikipedia edits (to);5581;29298;False;10668;10.4992;http://konect.cc/files/download.tsv.edit-towiki.tar.bz2
418;Wikipedia talk (nds);23132;27432;True;22612;2.37178;http://konect.cc/files/download.tsv.wiki_talk_nds.tar.bz2
419;Wikipedia edits (chr);4273;29664;False;1799;13.8844;http://konect.cc/files/download.tsv.edit-chrwiki.tar.bz2
420;Wikipedia edits (bm);3040;29856;False;2562;19.6421;http://konect.cc/files/download.tsv.edit-bmwiki.tar.bz2
421;Wiktionary edits (csb);2763;29959;False;5222;21.6858;http://konect.cc/files/download.tsv.edit-csbwiktionary.tar.bz2
422;Wikipedia edits (pnt);2478;30942;False;2844;24.9734;http://konect.cc/files/download.tsv.edit-pntwiki.tar.bz2
423;Wikibooks edits (no);4821;29595;False;8269;12.2775;http://konect.cc/files/download.tsv.edit-nowikibooks.tar.bz2
424;Wikipedia edits (tcy);3884;30401;False;4149;15.6545;http://konect.cc/files/download.tsv.edit-tcywiki.tar.bz2
425;Wikibooks edits (sv);7094;30924;False;3053;8.71835;http://konect.cc/files/download.tsv.edit-svwikibooks.tar.bz2
426;OpenFlights (Patokallio);3425;67663;True;1826;39.5112;http://konect.cc/files/download.tsv.openflights.tar.bz2
427;Wikipedia edits (pih);3152;32283;False;3510;20.4841;http://konect.cc/files/download.tsv.edit-pihwiki.tar.bz2
428;Wikipedia edits (nso);9785;32788;False;9360;6.70169;http://konect.cc/files/download.tsv.edit-nsowiki.tar.bz2
429;Wikibooks edits (el);4953;30846;False;4533;12.4555;http://konect.cc/files/download.tsv.edit-elwikibooks.tar.bz2
430;Wikipedia edits (iu);3586;32761;False;2776;18.2716;http://konect.cc/files/download.tsv.edit-iuwiki.tar.bz2
431;arXiv cond-mat;38741;58595;False;116;3.02496;http://konect.cc/files/download.tsv.opsahl-collaboration.tar.bz2
432;Wikiversity edits (fi);4396;31157;False;1136;14.1752;http://konect.cc/files/download.tsv.edit-fiwikiversity.tar.bz2
433;Wikipedia edits (ee);3343;33264;False;3295;19.9007;http://konect.cc/files/download.tsv.edit-eewiki.tar.bz2
434;Wikinews edits (uk);6964;32800;False;2979;9.41987;http://konect.cc/files/download.tsv.edit-ukwikinews.tar.bz2
435;UC Irvine forum;1421;33720;False;1792;47.4595;http://konect.cc/files/download.tsv.opsahl-ucforum.tar.bz2
436;Wikibooks edits (vi);9144;32618;False;7606;7.1343;http://konect.cc/files/download.tsv.edit-viwikibooks.tar.bz2
437;Wikinews edits (sv);9105;34241;False;11118;7.52136;http://konect.cc/files/download.tsv.edit-svwikinews.tar.bz2
438;Wikibooks edits (th);12734;33220;False;6793;5.21753;http://konect.cc/files/download.tsv.edit-thwikibooks.tar.bz2
439;Amazon (Wang);26911;29062;False;812;2.15986;http://konect.cc/files/download.tsv.wang-amazon.tar.bz2
440;Gnutella (24);26518;65369;True;355;4.93016;http://konect.cc/files/download.tsv.p2p-Gnutella24.tar.bz2
441;Wikipedia edits (srn);3150;35199;False;2562;22.3486;http://konect.cc/files/download.tsv.edit-srnwiki.tar.bz2
442;Wikipedia edits (kg);3384;35497;False;2853;20.9793;http://konect.cc/files/download.tsv.edit-kgwiki.tar.bz2
443;Wikipedia edits (kaa);5469;36012;False;3039;13.1695;http://konect.cc/files/download.tsv.edit-kaawiki.tar.bz2
444;Wikipedia edits (roa-rup);4609;36438;False;2590;15.8117;http://konect.cc/files/download.tsv.edit-roa_rupwiki.tar.bz2
445;Wikiquote edits (hu);5720;37038;False;11005;12.9503;http://konect.cc/files/download.tsv.edit-huwikiquote.tar.bz2
446;Wikipedia edits (sn);9067;36007;False;12018;7.94243;http://konect.cc/files/download.tsv.edit-snwiki.tar.bz2
447;Wikiquote edits (da);21230;36012;False;17831;3.39256;http://konect.cc/files/download.tsv.edit-dawikisource.tar.bz2
448;Wiktionary edits (bn);10258;36040;False;15585;7.02671;http://konect.cc/files/download.tsv.edit-bnwiktionary.tar.bz2
449;Wikipedia edits (glk);12825;36620;False;12284;5.71072;http://konect.cc/files/download.tsv.edit-glkwiki.tar.bz2
450;Wikipedia edits (rmy);3197;38114;False;2748;23.8436;http://konect.cc/files/download.tsv.edit-rmywiki.tar.bz2
451;Wikiquote edits (tr);12748;36566;False;6109;5.73674;http://konect.cc/files/download.tsv.edit-trwikisource.tar.bz2
452;Wiktionary edits (ne);7253;37048;False;12422;10.2159;http://konect.cc/files/download.tsv.edit-newiktionary.tar.bz2
453;Wikivoyage edits (fi);4216;38039;False;6432;18.0451;http://konect.cc/files/download.tsv.edit-fiwikivoyage.tar.bz2
454;Wikiquote edits (et);20902;37403;False;14395;3.57889;http://konect.cc/files/download.tsv.edit-etwikisource.tar.bz2
455;Wikipedia edits (kbd);7157;39586;False;4517;11.0622;http://konect.cc/files/download.tsv.edit-kbdwiki.tar.bz2
456;Wikipedia edits (ab);6698;39606;False;3851;11.8262;http://konect.cc/files/download.tsv.edit-abwiki.tar.bz2
457;Wikipedia edits (lbe);11212;39548;False;4554;7.05458;http://konect.cc/files/download.tsv.edit-lbewiki.tar.bz2
458;Wiktionary edits (mk);6388;40267;False;7263;12.6071;http://konect.cc/files/download.tsv.edit-mkwiktionary.tar.bz2
459;Wikipedia edits (ty);3404;42098;False;3258;24.7344;http://konect.cc/files/download.tsv.edit-tywiki.tar.bz2
460;Wikipedia edits (bxr);8187;41140;False;12131;10.0501;http://konect.cc/files/download.tsv.edit-bxrwiki.tar.bz2
461;DNC emails;2029;39264;True;5813;38.7028;http://konect.cc/files/download.tsv.dnc-temporalGraph.tar.bz2
