Name,n,m,min_in,median_in_1,median_in_2,median_in_3,median_in_4,median_in_5,median_in_6,median_in_7,max_in,min_out,median_out_1,median_out_2,median_out_3,median_out_4,median_out_5,median_out_6,median_out_7,max_out
NR/lp-nug08,1632,7297,4,4,4,4,4,4,4,4,16,0,0,0,0,8,8,8,8,9
NR/lp-qap8,1632,7297,4,4,4,4,4,4,4,4,16,0,0,0,0,8,8,8,8,9
NR/lp-ship08s,2467,7195,1,3,3,3,3,3,3,3,6,0,0,0,0,0,0,1,6,61
NR/lshp2233,2233,8786,1,2,3,4,4,4,4,6,7,1,2,4,4,4,4,5,6,8
NR/tech-routers-rf,2113,6633,0,0,0,1,1,2,3,6,79,0,0,0,1,1,2,3,6,85
NR/GD06-Java,1538,8033,0,0,0,0,1,2,3,7,754,0,1,2,2,3,4,7,11,72
NR/dw1024,2048,10115,3,5,5,5,5,5,5,5,8,3,5,5,5,5,5,5,5,8
NR/lp-scfxm3,1800,8207,1,1,1,2,3,3,5,13,20,0,0,0,0,2,4,5,10,57
NR/relat6,2340,8109,0,0,0,0,0,0,0,0,110,0,3,4,4,4,4,4,4,4
NR/adder-dcop-01,1813,11157,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-02,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-03,1813,11149,1,2,3,4,5,5,6,7,1333,1,3,4,5,5,6,7,8,1311
NR/adder-dcop-04,1813,11108,1,2,3,4,5,5,6,7,1332,1,3,4,5,5,6,7,8,1311
NR/adder-dcop-05,1813,11098,1,2,3,4,4,5,6,7,1333,1,3,4,5,5,6,7,7,1311
NR/adder-dcop-06,1813,11225,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-07,1813,11227,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-08,1813,11243,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-09,1813,11240,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-10,1813,11233,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-11,1813,11244,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-12,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-13,1813,11246,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-14,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-15,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-16,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-17,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-18,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-19,1813,11246,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-20,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-21,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-22,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-23,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-24,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-25,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-26,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-27,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-28,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-29,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-30,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-31,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-32,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-33,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-34,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-35,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-36,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-37,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-38,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-39,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-41,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-42,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-43,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-44,1813,11246,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-45,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-46,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-47,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-48,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-49,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-50,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-51,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-52,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-53,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-54,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-55,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-56,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-58,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-59,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-60,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-62,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-63,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-64,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-65,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-66,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-67,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-68,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/adder-dcop-69,1813,11247,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/init-adder1,1813,11157,1,3,3,4,5,5,6,7,1333,1,3,4,5,6,6,7,8,1311
NR/moreno-names,10895,9131,0,0,0,21854,0,0,0,0,0,0,5,0,21854,0,0,0,0,0
NR/progas,1900,8898,1,1,1,4,5,5,5,9,14,0,0,3,3,3,4,6,10,18
NR/DD-g513,1704,8595,1,3,4,5,5,6,6,7,11,1,3,4,5,5,6,6,7,11
NR/bcsstm13,2003,11974,1,1,1,1,1,1,11,17,43,1,1,1,1,1,1,9,19,41
NR/c-19,2327,12073,1,1,1,2,2,2,6,14,249,1,1,1,1,1,1,8,10,362
NR/lp-fit1p,1677,9869,1,1,1,1,1,1,1,1,627,0,0,0,0,0,0,15,17,21
NR/lp-maros,1966,10138,1,1,1,2,3,5,10,11,20,0,0,0,0,0,3,5,16,164
NR/rdb2048,2048,12033,4,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6
NR/rdb2048-noL,2048,12033,4,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6
NR/watt-1,1856,11361,2,5,6,6,6,7,7,7,7,1,5,6,6,7,7,7,7,7
NR/watt-2,1856,11551,2,5,6,6,7,7,7,7,65,1,5,6,6,7,7,7,7,128
NR/lp-25fv47,1876,10706,1,1,2,4,6,7,7,10,21,0,0,0,0,0,3,8,15,340
NR/rajat12,1879,12927,1,3,3,4,4,5,5,5,1195,1,3,3,4,4,5,5,5,1195
NR/G35,2000,11779,0,0,0,1,2,3,6,11,206,0,6,6,6,6,6,6,6,7
NR/G36,2000,11767,0,0,1,1,2,4,6,11,323,0,6,6,6,6,6,6,6,7
NR/G37,2000,11786,0,0,1,1,2,3,6,11,276,0,6,6,6,6,6,6,6,7
NR/G38,2000,11780,0,0,0,1,2,4,6,11,246,0,6,6,6,6,6,6,6,7
NR/G39,2000,11779,0,0,0,1,2,3,6,11,206,0,6,6,6,6,6,6,6,7
NR/G40,2000,11767,0,0,1,1,2,4,6,11,323,0,6,6,6,6,6,6,6,7
NR/G41,2000,11786,0,0,1,1,2,3,6,11,276,0,6,6,6,6,6,6,6,7
NR/G42,2000,11780,0,0,0,1,2,4,6,11,246,0,6,6,6,6,6,6,6,7
NR/TSOPF-FS-b9-c1,2454,12832,0,0,0,0,2,4,9,10,1208,0,0,3,4,4,5,6,12,13
NR/orsreg-1,2205,14134,4,6,6,6,6,7,7,7,7,4,6,6,6,6,7,7,7,7
NR/Sieber,2290,14874,5,5,5,5,5,5,5,5,2289,4,4,4,4,5,5,5,5,2289
NR/adder-trans-01,1814,14580,1,4,5,6,6,8,8,8,1336,1,4,5,6,6,8,8,8,1336
NR/adder-trans-02,1814,14580,1,4,5,6,6,8,8,8,1336,1,4,5,6,6,8,8,8,1336
NR/lp-pilotnov,2446,13332,1,1,2,3,4,5,6,11,40,0,0,0,0,0,3,5,10,225
NR/DD-g196,2495,13127,1,3,4,5,5,6,6,7,12,1,3,4,5,5,6,6,7,12
NR/bcsstk26,1922,16130,1,4,6,7,8,9,10,13,24,1,4,5,6,7,9,11,15,27
NR/bibd-17-4,2380,14281,6,6,6,6,6,6,6,6,7,0,0,0,0,0,0,0,0,106
NR/add20,2395,17320,2,3,3,3,4,4,5,7,124,2,3,3,3,4,4,5,7,124
NR/lp-pilot-ja,2267,14978,1,1,2,3,4,5,8,14,55,0,0,0,0,0,3,5,11,224
NR/plat1919,1919,17160,1,5,5,7,9,9,13,15,15,1,3,3,8,11,11,14,15,15
NR/Chebyshev2,2053,18448,3,9,9,9,9,9,9,9,9,3,5,5,5,5,5,5,5,2053
NR/rosen8,1544,16059,1,1,1,14,15,15,16,16,17,0,0,0,0,0,0,16,17,976
NR/soc-hamsterster,2426,16630,0,1,1,3,4,6,9,14,96,0,0,1,1,2,3,6,14,258
NR/Maragal-3,1690,18392,0,0,0,0,4,10,14,22,244,0,2,2,2,2,3,9,22,468
NR/nasa1824,1824,20517,1,6,8,9,10,13,14,16,34,1,7,9,10,11,13,14,15,31
NR/G22,2000,19991,0,2,4,7,9,12,15,18,32,0,2,5,7,10,12,15,18,30
NR/G23,2000,19991,0,2,5,7,9,12,15,18,30,0,2,5,7,9,12,15,18,31
NR/G24,2000,19991,0,2,5,7,9,12,15,18,33,0,2,4,7,9,12,15,18,37
NR/G25,2000,19991,0,2,5,7,9,12,15,18,33,0,2,5,7,9,12,15,18,31
NR/G26,2000,19991,0,2,4,7,9,12,15,18,33,0,2,5,7,9,12,15,19,32
NR/G27,2000,19991,0,2,4,7,9,12,15,18,32,0,2,5,7,10,12,15,18,30
NR/G28,2000,19991,0,2,4,7,9,12,15,18,33,0,2,4,7,9,12,15,18,30
NR/G29,2000,19991,0,2,5,7,9,12,15,18,33,0,2,4,7,9,12,15,18,37
NR/G30,2000,19991,0,2,5,7,9,12,15,18,33,0,2,5,7,9,12,15,18,31
NR/G31,2000,19991,0,2,4,7,9,12,15,18,33,0,2,5,7,9,12,15,19,32
NR/Trefethen-2000,2000,21954,2,9,10,11,11,12,12,12,12,1,9,10,11,11,12,12,12,13
NR/utm1700b,1700,21510,1,2,8,8,16,18,18,19,20,1,4,10,10,13,14,15,22,29
NR/IG5-11,1692,22111,0,0,0,0,2,7,16,37,171,0,0,0,6,10,10,17,30,111
NR/rosen1,1544,23795,1,1,1,21,22,23,23,24,24,0,0,0,0,0,0,31,32,976
NR/ex3,1821,27254,2,10,12,14,15,16,17,21,26,1,6,8,12,14,15,17,29,42
NR/petster-friendships-hamster,14392,12534,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
NR/bibd-13-6,1716,25741,15,15,15,15,15,15,15,15,16,0,0,0,0,0,0,0,0,331
NR/ex10,2410,28626,1,5,8,9,10,13,15,19,26,1,5,8,9,10,13,15,19,26
NR/Maragal-4,1964,26720,0,0,0,0,5,13,19,30,226,1,2,2,2,3,3,4,26,586
NR/bcsstk14,1806,32631,1,12,15,17,19,20,22,24,30,1,10,15,17,19,21,22,24,35
NR/nasa2146,2146,37199,2,15,17,18,18,19,19,20,20,1,15,17,18,18,19,19,20,20
NR/email-dnc,32517,39263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR/lock2232,2232,41281,0,4,19,20,21,22,23,24,36,0,2,4,6,17,26,29,38,42
NR/bcsstk13,2003,42944,1,10,13,15,18,23,29,38,62,1,8,11,14,17,23,29,41,84
NR/TS,2142,45263,1,21,21,21,21,23,23,23,23,1,23,23,23,23,23,23,23,23
NR/ex24,2283,48738,9,12,15,19,21,21,24,37,46,9,12,15,19,21,21,24,37,46
NR/ex7,1633,54544,8,18,20,27,30,30,45,50,75,8,18,20,27,30,30,45,50,75
NR/opsahl-ucsocial,32594,59835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR/rdist3a,2398,61897,3,26,26,26,26,27,27,27,27,1,6,6,6,22,45,45,45,93
NR/socfb-Swarthmore42,1659,61051,0,4,9,16,24,35,52,78,531,0,3,9,15,23,34,51,82,425
NR/ex20,2203,69982,8,19,19,21,26,36,39,60,67,8,19,19,21,26,36,39,60,67
NR/socfb-Bowdoin47,2252,84388,0,3,9,16,26,38,54,79,301,0,3,9,16,25,36,56,81,539
NR/socfb-Amherst41,2235,90955,0,4,9,17,26,40,58,87,414,0,3,9,17,27,40,58,86,371
NR/ex26,2163,94034,7,19,24,30,42,50,51,80,136,7,19,24,30,42,50,51,80,136
NR/comsol,1500,97646,26,42,54,54,56,66,80,81,180,26,42,54,54,56,66,80,81,180
NR/piston,2025,100016,4,9,60,60,60,60,60,60,63,4,9,60,60,60,60,60,60,63
NR/CAG-mat1916,1916,195986,2,6,12,21,39,61,123,285,1134,2,32,51,74,101,121,141,179,279
NR/p-hat1500-1,1500,284924,0,44,86,132,177,217,269,357,575,0,42,83,127,173,218,277,354,570
NR/p-hat1500-2,1500,568961,0,86,173,265,353,433,531,721,1101,0,86,167,254,341,433,556,710,1107
NR/heart2,2339,682798,56,211,234,258,282,333,357,366,603,56,211,234,258,282,333,357,366,603
NR/heart3,2339,682798,56,211,234,258,282,333,357,366,603,56,211,234,258,282,333,357,366,603
NR/p-hat1500-3,1500,847245,0,141,282,427,566,696,837,977,1311,0,136,273,421,556,702,847,972,1302
NR/C2000-5,2000,999837,0,125,246,375,502,626,746,874,1031,0,125,249,373,503,623,750,878,1027
NR/C2000-9,2000,1799533,1,226,452,672,899,1126,1351,1575,1814,0,225,450,677,902,1123,1355,1575,1837
NR/scc-rt-lebanon,3370,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
NR/scc-rt-obama,3040,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
NR/scc-rt-damascus,2962,42,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7
NR/scc-rt-occupy,3090,61,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
NR/Chem97ZtZ,2541,4952,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,101
NR/bio-CE-HT,2616,2984,0,0,0,0,1,1,1,2,40,0,0,0,1,1,1,1,2,18
NR/bcsstm23,3134,3135,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
NR/bibd-81-2,3240,3241,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
NR/ego-facebook,5680,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR/minnesota,2642,3304,0,1,1,1,1,1,2,2,3,0,1,1,1,1,1,2,2,3
NR/rt-obama,8,5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,2,2
NR/socfb-nips-ego,2888,2981,0,1,1,1,1,1,1,1,9,0,0,0,0,0,0,0,0,760
NR/diag,2559,4093,1,1,1,1,2,2,2,2,2,0,1,1,1,2,2,2,2,3
NR/laser,3002,5001,0,0,0,2,2,2,3,3,3,0,0,0,1,1,1,4,4,5
NR/rt-damascus,19,13,0,0,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,3
NR/rt-occupy,30,21,0,0,0,0,1,1,1,1,4,0,0,0,0,1,1,1,1,4
NR/cora,8136,5428,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
NR/G48,3000,6001,1,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,5
NR/G49,3000,6001,1,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,5
NR/G50,3000,6001,1,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,5
NR/grid2,3296,6433,0,0,1,2,2,2,3,4,5,0,0,0,2,2,2,2,4,5
NR/grid2-dual,3136,6113,0,1,1,2,2,2,3,3,4,0,1,1,2,2,2,3,3,5
NR/iprob,3001,9001,2,2,2,2,2,2,2,2,3000,2,2,2,2,2,2,2,2,3000
NR/maayan-vidal,9856,6726,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
NR/web-edu,3031,6475,0,1,2,2,2,2,2,2,66,0,1,1,1,1,1,1,1,101
NR/GL7d26,2798,7413,0,2,2,3,3,3,3,3,4,0,0,0,0,0,0,0,0,356
NR/lp-sctap2,2500,7335,1,1,1,1,3,4,4,6,6,0,0,0,0,0,3,3,6,25
NR/n3c6-b10,2511,7426,1,2,2,2,2,3,4,5,6,0,0,0,0,0,0,11,11,12
NR/scrs8-2b,3499,7368,1,1,1,1,1,2,2,3,260,0,0,0,0,2,3,4,4,15
NR/scrs8-2c,3499,7368,1,1,1,1,1,2,2,3,260,0,0,0,0,2,3,4,4,15
NR/cat-ears-2-4,2689,7983,2,3,3,3,3,3,3,3,4,0,0,0,0,0,1,7,9,15
NR/lp-ship12s,2869,8285,1,3,3,3,3,3,3,3,6,0,0,0,0,0,0,1,6,49
NR/lp-sierra,2735,8002,1,1,1,3,3,4,4,4,5,0,0,0,0,0,3,4,5,24
NR/lshp2614,2614,10298,1,2,3,4,4,4,4,6,7,1,2,4,4,4,4,4,5,8
NR/mhd3200b,3200,10759,1,2,2,3,3,3,4,4,7,1,2,3,3,3,3,4,4,6
NR/lp-pilot-we,2928,9266,1,2,2,3,3,3,3,4,12,0,0,0,0,0,0,0,11,81
NR/lp-scsd8,2750,8585,1,2,2,2,4,4,4,4,4,0,0,0,0,0,0,0,20,24
NR/lp-stocfor2,3045,9358,1,1,1,1,2,2,4,5,10,0,0,0,2,3,3,3,7,15
NR/mk10-b2,3150,9451,0,0,0,0,0,0,0,15,16,3,3,3,3,3,3,3,3,4
NR/scagr7-2c,3479,9006,1,1,1,1,1,3,3,4,449,0,0,0,2,2,3,3,5,10
NR/SciMet,3084,10414,0,0,1,1,2,3,4,7,121,0,0,0,0,1,2,4,8,104
NR/c-20,2921,12804,1,1,1,1,2,2,2,4,153,1,1,1,1,1,4,8,9,158
NR/cryg2500,2500,12350,3,5,5,5,5,5,5,5,6,3,5,5,5,5,5,5,5,5
NR/lp-sctap3,3340,9735,1,1,1,1,3,4,4,6,6,0,0,0,0,0,3,4,6,32
NR/lshp3466,3466,13682,1,3,4,4,4,4,4,6,7,1,2,4,4,4,4,4,5,8
NR/dwt-2680,2680,13854,1,3,4,5,5,5,6,8,14,1,3,4,5,5,5,6,8,15
NR/extr1,2837,11408,1,2,2,2,3,3,5,10,11,1,2,2,3,3,4,6,6,10
NR/extr1b,2836,11405,1,2,2,2,3,3,5,10,11,1,2,2,3,3,4,6,6,10
NR/Franz3,2800,11521,2,4,4,4,4,4,4,4,33,0,0,0,0,0,9,9,9,10
NR/lutz30-23-b6,3003,12013,2,4,4,4,4,4,4,4,6,0,0,0,0,7,7,7,7,8
NR/pde2961,2961,14586,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
NR/fxm2-6,2845,12813,1,1,1,2,3,3,5,11,24,0,0,0,0,2,4,5,10,57
NR/n4c5-b4,2852,14261,0,0,0,0,0,10,11,11,12,5,5,5,5,5,5,5,5,6
NR/data,2851,15094,0,3,4,4,6,6,7,7,12,0,4,4,5,6,6,7,7,8
NR/n2c6-b4,3003,15016,0,0,0,0,0,11,11,11,12,5,5,5,5,5,5,5,5,6
NR/n3c6-b4,3003,15016,0,0,0,0,0,11,11,11,12,5,5,5,5,5,5,5,5,6
NR/rdb3200l,3200,18881,4,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6
NR/wang1,2903,19094,4,6,6,7,7,7,7,7,7,4,6,6,7,7,7,7,7,7
NR/wang2,2903,19094,4,6,6,7,7,7,7,7,7,4,6,6,7,7,7,7,7,7
NR/g7jac010,2880,19636,2,2,3,4,4,5,9,13,36,2,2,3,3,5,7,8,13,36
NR/g7jac010sc,2880,19636,2,2,3,4,4,5,9,13,36,2,2,3,3,5,7,8,13,36
NR/sherman5,3312,20794,1,1,1,1,1,10,12,13,17,1,1,1,1,1,5,12,18,21
NR/ODLIS,2909,18247,0,0,0,1,2,3,4,9,584,0,1,3,4,6,7,9,11,41
NR/swang1,3169,20842,3,5,7,7,7,7,7,7,10,3,5,7,7,7,7,7,7,10
NR/swang2,3169,20842,3,5,7,7,7,7,7,7,10,3,5,7,7,7,7,7,7,10
NR/lpi-gran,2658,20112,0,1,1,1,1,10,13,20,97,0,1,1,1,2,4,11,18,86
NR/pcb1000,2820,20464,1,1,3,5,6,8,10,14,26,0,0,0,0,3,4,5,7,1499
NR/bayer09,3083,21217,1,1,1,2,2,3,6,18,43,1,2,2,3,3,5,9,14,34
NR/bcsstk23,3134,24157,1,4,6,7,7,8,10,11,21,1,4,5,6,7,8,10,12,21
NR/ex29,2870,23755,1,6,9,9,9,9,9,9,9,1,6,9,9,9,9,9,9,9
NR/lp-cycle,3371,21235,1,1,2,2,6,7,9,13,28,0,0,0,0,2,3,7,20,64
NR/shermanACa,3432,25221,1,3,4,5,6,6,7,9,2498,1,3,4,5,6,6,7,9,2498
NR/lp-degen3,2604,25433,1,1,1,3,5,9,15,23,49,0,0,0,0,3,3,6,12,204
NR/ex10hs,2548,29929,1,6,8,9,11,12,15,18,26,1,5,7,8,10,13,15,19,30
NR/bayer05,3268,27837,1,1,2,2,3,3,6,35,68,1,1,2,3,3,6,6,33,73
NR/bayer06,3008,27577,1,2,2,2,3,3,7,35,68,1,2,3,3,4,6,6,33,73
NR/bayer07,3268,27837,1,1,2,2,3,3,6,35,68,1,1,2,3,3,6,6,33,73
NR/bayer08,3008,27577,1,2,2,2,3,3,7,35,68,1,2,3,3,4,6,6,33,73
NR/TF14,3160,29863,0,7,8,9,10,10,11,12,13,0,0,7,8,10,11,12,16,42
NR/inf-openflights,2939,30501,0,1,1,2,3,4,8,21,236,0,1,1,2,3,4,8,21,237
NR/opsahl-openflights,32703,30501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR/ex14,3251,35014,2,9,9,11,11,11,12,14,18,1,4,7,9,9,10,11,24,26
NR/circuit-1,2624,35824,1,7,7,7,7,7,7,8,2571,1,7,7,7,7,7,7,8,2571
NR/EX4,2600,35881,0,8,10,12,14,16,17,20,25,0,8,10,12,14,15,17,19,28
NR/cegb3306,3306,39070,0,7,9,10,11,13,15,17,24,0,3,7,8,9,11,12,22,48
NR/ex13,2568,39099,2,11,12,15,15,16,18,21,26,1,7,9,13,14,15,17,29,34
NR/lhr02,2954,37207,1,2,2,3,4,24,25,25,26,1,2,3,3,4,5,21,43,43
NR/cegb3024,3024,41423,0,4,8,10,12,14,19,26,46,0,9,11,12,14,15,16,19,34
NR/utm3060,3060,42212,1,5,8,16,16,18,18,20,20,1,6,10,13,14,15,15,26,29
NR/IG5-12,2875,46261,0,0,0,0,3,7,20,42,289,0,0,5,9,10,15,20,30,117
NR/rosen2,3080,47537,1,1,1,21,22,23,23,24,24,0,0,0,0,0,0,31,32,1947
NR/ex9,3363,51418,2,11,12,15,16,16,18,21,26,1,7,9,13,14,15,16,29,30
NR/ex36,3079,53844,6,9,12,15,15,19,21,25,37,6,9,12,15,15,19,21,25,37
NR/rdist2,3198,56935,3,18,18,18,18,19,19,19,19,1,6,6,6,14,29,29,29,61
NR/meg1,2904,58143,1,2,2,2,4,7,50,61,432,1,2,2,2,3,7,50,61,411
NR/gen,2561,63087,1,2,2,2,2,40,61,63,66,0,0,0,0,0,0,60,85,1538
NR/gen1,2561,63087,1,2,2,2,2,40,61,63,66,0,0,0,0,0,0,60,85,1538
NR/thermal,3456,66529,12,12,18,18,18,18,27,27,27,12,12,18,18,18,18,27,27,27
NR/socfb-USFCA72,2682,65253,0,1,4,8,14,22,34,55,263,0,1,4,8,14,21,34,55,306
NR/mhd3200a,3200,68027,1,9,10,15,16,22,33,38,38,1,14,16,21,22,23,23,27,33
NR/lp-wood1p,2595,70217,1,27,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,2592
NR/bibd-14-7,3432,72073,21,21,21,21,21,21,21,21,22,0,0,0,0,0,0,0,0,793
NR/slptsk,3347,72466,1,1,2,2,2,3,4,8,887,0,0,19,20,23,24,27,29,61
NR/cavity10,2597,76368,1,18,18,21,21,36,36,62,62,8,16,18,21,26,36,36,52,62
NR/cavity11,2597,76368,8,16,18,21,26,36,36,52,62,1,18,18,21,21,36,36,62,62
NR/cavity12,2597,76368,1,18,18,21,21,36,36,62,62,8,16,18,21,26,36,36,52,62
NR/cavity13,2597,76368,8,16,18,21,26,36,36,52,62,1,18,18,21,21,36,36,62,62
